name,name_cn,date,bgm_id,douban_id,bili_id,anidb_id,mal_id,tmdb_id,imdb_id,tvdb_id,wikidata_id
ラーゼフォンOVA 間奏曲「彼女と彼女自身と」,翼神传说 间奏曲「她与她自己」,2003-08,38936,26392166,md3960,,,,,,
BLUE SEED,碧奇魂,1994-10,38938,2980133,md129332,644,998,tv/12634/season/1,tt0111897,76695,
A.D.POLICE,A.D.特警,1999-04,38939,1985985,md2213,,,,,,
安寿と厨子王丸,安寿与厨子王丸,1961-07,38940,4107996,,2200,7610,movie/109715,tt0054631,,Q592340
宝島,金银岛,1978-10,38941,,,2038,2618,,,81629,
りぜるまいん,爆弹小新娘,2002-04,38951,1940521,,19,197,tv/34684/season/1,tt0328338,83692,
遊☆戯☆王デュエルモンスターズALEX,游戏王胶囊怪兽,2006-09,38954,4262310,,,,,,,
HAND MAID メイ,袖珍女侍小梅,2000-07,38965,3131317,md2142,60,318,tv/34749/season/1,tt0293830,72470,
綿の国星,棉花国之星,1984-02,38966,3241965,,3575,1207,movie/256838,tt1647467,,
Legend of the Guardians: The Owls of Ga'Hoole,猫头鹰王国：守卫者传奇,2010-09,38989,3041281,,,,movie/41216,tt1219342,,Q622763
ヴァイスクロイツ グリーエン,白色猎人 第二季,2002-11,39001,4120629,,226,446,,,72922,
ヴァイスクロイツ Verbrechen / Strafe,白色猎人 OVA,1999-11,39002,25866265,,,,,,,
Jackie Chan Adventures Season 1,成龙历险记 第一季,2000-09,39024,1933857,,,,tv/240/season/1,tt0259141,76711,Q777464
날아라 슈퍼보드,百变孙悟空,1990-08,39025,3023646,,10799,,,,,
へーい!ブンブー,奔奔,1985-04,39026,1845590,,,,,,,
巴别崛起：序,巴别崛起：序,2012-03,39052,,,,,,,,
魔術士オーフェン,魔术士奥芬,1998-10,39064,2286174,md2268,538,1017,tv/61337/season/1,tt0251816,72901,
魔術士オーフェンRevenge,魔术士奥芬 -Revenge-,1999-10,39065,,md2269,678,1018,,,72901,
幸福小镇 第一季,幸福小镇 春岛篇,2012-05,39087,24892249,,,44576,,,,
Madagascar,马达加斯加,2005-07,39088,1309201,,,,movie/953,tt0351283,,Q174555
Madagascar: Escape to Africa,马达加斯加2：逃往非洲,2008-11,39089,1994876,,,,movie/10527,tt0479952,,Q188474
炎の中忍試験! ナルトvs木ノ葉丸!!,火影忍者 特别篇 炎之中忍试验！鸣人VS木叶丸！！,2011-07,39091,10771209,,8384,10686,,,79824,
Holy Knight,神圣骑士,2012-03,39109,10726976,,8541,11005,,,257746,
生徒会役員共 OVA,妄想学生会 OVA,2012-04,39118,10726973,,8996,,,,173271,
"Simba, il magico leone",狮子王,1995-01,39121,1301753,,,,movie/8587,tt0110357,,Q36479
これはゾンビですか? OAD,这个是僵尸吗？ OAD,2011-06,39195,4845420,,,,,,,
影技 -SHADOW SKILL-,影技OVA,1995-10,39237,4183886,,,,,,,
ボボボーボ・ボーボボ,爆裂鼻毛真拳,2003-11,39254,1855649,,1180,1050,,,79355,
BLUE SEED2,碧奇魂2,1996-07,39263,4140068,md25586515,385,999,movie/825305,tt0889170,76695,
BLUE SEED Ver.1.5,碧奇魂 Ver.1.5,1996-06,39264,5975184,,,,,,,
The Ant Bully,别惹蚂蚁,2006-07,39269,1482079,,,,movie/9906,tt0429589,,Q622758
The Polar Express,极地特快,2004-11,39270,1306785,,,,movie/5255,tt0338348,,Q862197
キャシャーン,卡辛,1993-08,39274,3313834,md10832,1445,1598,,,121951,
ウインダリア,渥大利亚,1987-02,39292,1974298,,1220,1130,movie/52439,tt0092218,,Q2526817
モンキーターン,驰风！赛艇王,2004-01,39299,3773932,md8981283,1274,2740,,,250972,
モンキーターン V,驰风！赛艇王V,2004-07,39300,24846365,md13293448,2432,2741,,,250972,
わすれなぐも,勿忘蛛,2012-03,39303,10574474,md5947,8468,13171,movie/126830,tt2345761,259863,Q21208920
G-onらいだーす♥,镜装女骑士,2002-07,39305,4286272,,480,1623,,,112661,
ウルダ,尤尔达,2002-01,39374,4122107,,122,1102,,,82031,
タイトロープ,钢索危情,2012-05,39496,26945688,,8919,12695,,,,
Spirit: Stallion of the Cimarron,小马王,2002-05,39503,1296636,,,,movie/9023,tt0166813,,Q641315
Phineas and Ferb Season 1,飞哥与小佛 第一季,2007-08,39507,3601183,,,,tv/1877/season/1,tt0852863,81848,Q217679
ふしぎ遊戯,不思议游戏 OVA,1997-05,39523,4241879,,163,380,,,71444,
ふしぎ遊戯 第二部,不思议游戏 第二部,1997-05,39524,4241880,,164,381,,,71444,
ふしぎ遊戯 -永光伝-,不思议游戏 -永光传-,2001-12,39525,3892237,,165,124,,,71444,
新機動戦記ガンダムW Endless Waltz,新机动战记高达W 无尽的华尔兹,1997-01,39530,10472794,md6058,908,91,,tt0203128,79327,
銀河英雄伝説 わが征くは星の大海,银河英雄传说 我的征途是星辰大海,1988-02,39531,3542206,md3284,,,,,,
銀河英雄伝説 黄金の翼,银河英雄传说 黄金之翼,1992-12,39532,3566521,md3992,1309,3015,movie/154501,,81618,
昆虫物語 みつばちハッチ～勇気のメロディ～,小蜜蜂寻亲记 勇气的旋律,2010-07,39542,4881681,,7287,8141,movie/177578,tt1703076,355649,Q5950576
レイアース,魔法骑士雷阿斯OVA,1997-07,39543,3543983,md3806,423,1954,,,71634,
夢戦士ウイングマン,银翼超人,1984-02,39567,4316076,,1578,3021,tv/78382/season/1,tt0296462,82981,Q130316943
黄龍の耳 美那の章,黄龙之耳 美那之章,1995-04,39609,35087744,,3535,2737,,,,
HELLS,地狱天使,2008-10,39610,3237779,md4748,6109,4983,movie/129465,tt1313120,,
郑和1405-魔海寻踪,郑和1405-魔海寻踪,2012-07,39611,10736409,,,,,,,
しらんぷり,视而不见,2012-03,39637,10574475,,8466,13175,movie/161688,,259863,
流れ星レンズ,流★星LENS,2012-03,39676,10736468,md4603,8868,13833,,,,
僕は友達が少ない あどおんでぃすく,我的朋友很少 Add-on disk,2012-09,39699,10793469,,9206,14027,,,251908,
奇博少年,,2012-01,39726,10573502,,,42922,,,,
啦啦啦德玛西亚,啦啦啦德玛西亚,2011-12,39743,21798946,,,44543,,,,
桃花源记,桃花源记,,39744,1901218,,,,,,,
おしりかじり虫,咬屁屁虫,2012-10,39759,19961256,md5887,9199,15545,,,265138,
まんがーる!,漫画少女,2013-01,39761,19997965,md646,9207,14045,,,264054,
I・Я・I・A ZЁIЯAM THE ANIMATION,伊利亚：杰拉姆 动画版,1994-06,39780,,md141192,197,432,,,82706,
絶園のテンペスト,绝园的暴风雨,2012-10,39794,4202196,md3786,9214,14075,tv/46283/season/1,tt2294048,262109,
探検ドリランド,探险托里兰托,2012-07,39808,10785517,,9211,14333,,,260408,
New Story of Aura Battler DUNBINE,圣战士登拜因 OVA,1988-02,39869,5050124,md4005,,,,,,
REVIVAL OF EVANGELION 新世紀エヴァンゲリオン劇場版 DEATH (TRUE)² / Air / まごころを、君に,新世纪福音战士剧场版 DEATH(TRUE)2/Air/真心为你,1998-03,39923,1308892,,,,movie/18491,tt0169858,,Q1151814
うる星やつら オンリー・ユー,福星小子1 爱星球之恋,1983-02,40001,1918439,,378,1920,movie/150023,tt0086520,75113,Q3826597
うる星やつら2 ビューティフル・ドリーマー,福星小子2 绮丽梦中人,1984-02,40003,1467780,,379,1921,movie/43967,tt0088334,75113,Q1582185
マシュランボー,爆裂战士,2000-02,40074,3608981,,2127,1137,tv/21175/season/1,tt0293741,72350,
ポケットモンスター ベストウイッシュ シーズン2,精灵宝可梦 超级愿望 第2季,2012-06,40081,4925435,,9216,14093,,tt1738586,76703,
One Hundred and One Dalmatians,101忠狗,1961-01,40122,1298204,,,,movie/12230,tt0055254,,Q165512
The Fantastic Flying Books of Mr. Morris Lessmore,神奇飞书,2011-01,40126,6902929,,,,movie/86412,tt1778342,,Q1632016
